grged,16,2016-11-11
bio,4,2016-11-11
bio,6,2016-11-11
ak,5,2016-11-11
grbld,1,2016-11-14
grbld,2,2016-11-14
bio,10,2016-11-14
gs,6,2016-11-14
ak,4,2016-11-14
grbld,3,2016-11-15
bio,11,2016-11-15
bio,12,2016-11-15
ak,10,2016-11-15
grbld,8,2016-11-16
grbld,9,2016-11-16
bio,13,2016-11-16
gs,12,2016-11-16
ak,11,2016-11-16
grbld,5,2016-11-17
bio,14,2016-11-17
bio,15,2016-11-17
ak,13,2016-11-17
grbld,4,2016-11-18
grbld,6,2016-11-18
bio,16,2016-11-18
gs,15,2016-11-18
ak,14,2016-11-18
grbld,10,2016-11-21
bio,1,2016-11-21
bio,2,2016-11-21
gs,16,2016-11-21
grbld,11,2016-11-22
grbld,12,2016-11-22
bio,3,2016-11-22
gs,2,2016-11-22
ak,1,2016-11-22
grbld,13,2016-11-23
bio,8,2016-11-23
bio,9,2016-11-23
gs,3,2016-11-23
grbld,14,2016-11-24
grbld,15,2016-11-24
bio,5,2016-11-24
gs,8,2016-11-24
ak,9,2016-11-24
grbld,16,2016-11-25
bio,4,2016-11-25
bio,6,2016-11-25
gs,5,2016-11-25
grged,1,2016-11-28
grged,2,2016-11-28
bio,10,2016-11-28
gs,4,2016-11-28
ak,6,2016-11-28
grged,3,2016-11-29
bio,11,2016-11-29
bio,12,2016-11-29
gs,10,2016-11-29
grged,8,2016-11-30
grged,9,2016-11-30
bio,13,2016-11-30
gs,11,2016-11-30
ak,12,2016-11-30
grged,5,2016-12-01
bio,14,2016-12-01
bio,15,2016-12-01
gs,13,2016-12-01
grged,4,2016-12-02
grged,6,2016-12-02
bio,16,2016-12-02
gs,14,2016-12-02
ak,15,2016-12-02
grged,10,2016-12-05
bio,1,2016-12-05
bio,2,2016-12-05
ak,16,2016-12-05
grged,11,2016-12-06
grged,12,2016-12-06
bio,3,2016-12-06
gs,1,2016-12-06
ak,2,2016-12-06
grged,13,2016-12-07
bio,8,2016-12-07
